item_id,item_name,category,disc_label,item_stem,option_A,option_B,a_true,b_true
13,Paid family leave mandate,Labor Markets & Worker Rights,Low,A bill would require employers to provide a minimum of two weeks of paid family leave per year. What is your preference?,A federal paid leave requirement protects workers who cannot negotiate this benefit on their own.,Leave policies are better determined by employers and market competition not federal mandates.,0.5,0.3
14,Right-to-work laws,Labor Markets & Worker Rights,Moderate,"Some states have ""right-to-work"" laws which mean workers in a unionized workplace cannot be required to join the union or pay dues. What is your view?",Right-to-work laws weaken unions and should not be encouraged at the federal level.,No worker should be compelled to join a union or pay dues as a condition of employment.,1.1,-0.2
15,Executive pay ratios,Labor Markets & Worker Rights,High,A proposal would limit the ratio between the highest and lowest paid employees within a single company. What is your preference?,Caps on pay ratios within companies would help reduce extreme income inequality.,Pay levels within a company should be determined by the market and individual performance not government rules.,1.8,-0.7
16,Single-payer healthcare,Healthcare & Public Services,High,"A proposal would replace private health insurance with a single government-run insurance program covering all residents (sometimes called ""single-payer"" or ""Medicare for All""). What is your preference?",A single government insurance program would ensure everyone has coverage regardless of employment or income.,A competitive private insurance market with government support for those in need is preferable to a government monopoly.,2.4,-1.4
17,Drug price negotiation,Healthcare & Public Services,Moderate,Prescription drug prices in the U.S. are among the highest in the world. Which approach do you prefer?,Allow the government to directly negotiate drug prices with pharmaceutical companies.,Encourage more competition among drug manufacturers rather than having the government set prices.,1.2,-0.4
18,Free public college,Healthcare & Public Services,Moderate,A proposal would make public four-year universities tuition-free for all students funded by the federal government. Which best reflects your view?,Free public college would expand opportunity and reduce the burden of student debt.,Tuition-free college for all is an inefficient subsidy; aid should be targeted to those who cannot afford it.,1.1,-0.3
19,Rural broadband access,Healthcare & Public Services,Low,Should the government provide free broadband internet access in underserved rural and low-income areas?,Internet access is a basic utility and the government should ensure universal access.,Private providers with incentive-based contracts can extend service more efficiently than government programs.,0.5,0.2
20,Public library expansion,Healthcare & Public Services,Low,A town is deciding whether to expand its public library system or offer vouchers residents can use at private libraries. Which do you prefer?,Expand the publicly funded library system to serve the whole community.,Vouchers for private libraries give residents more choice and may be more cost-effective.,0.4,0.4
21,Big tech regulation,Corporate Regulation,High,"Several large technology companies control the dominant platforms for online search, social media, and e-commerce. What is your preference?",The government should break up or impose strict rules on dominant tech companies to protect competition.,Large tech companies succeed because they provide value; heavy regulation risks harming innovation.,1.9,-0.6
22,Worker board representation,Corporate Regulation,Moderate,A proposal would require companies above a certain size to include workers on their board of directors (a practice called co-determination). What is your view?,Workers should have a formal voice in major company decisions not just shareholders.,Board composition should be determined by shareholders who bear the financial risk of the company.,1.1,0.0
23,Environmental regulations,Corporate Regulation,Moderate,A new environmental regulation would require factories to meet stricter pollution limits increasing their operating costs. What is your preference?,Stronger environmental regulations are justified even if they raise costs for businesses.,Regulations should balance environmental goals with the economic burden placed on businesses.,1.0,0.3
24,Corporate disclosure,Corporate Regulation,Low,"A bill would require large corporations to publicly disclose detailed information about their executive pay, tax payments, and lobbying expenditures. What is your preference?",Greater public disclosure of corporate practices is in the public interest.,Extensive mandatory disclosure requirements create compliance burdens and may not produce meaningful benefits.,0.6,0.5
25,Financial institution rules,Corporate Regulation,High,Some argue that financial institutions (banks and investment firms) should be prohibited from certain risky activities to prevent future economic crises. What is your preference?,Financial institutions should face strict activity restrictions to protect the broader economy.,Financial firms should largely self-regulate with minimal restrictions; excessive rules slow economic growth.,2.0,-0.5
26,Tariffs on imports,Trade & Economic Nationalism,High,A tariff is a tax placed on imported goods. A proposal would raise tariffs on foreign manufactured goods to protect domestic factory jobs. What is your preference?,Tariffs are justified if they protect American workers from unfair foreign competition.,Tariffs raise prices for consumers and invite retaliation; free trade produces better outcomes overall.,1.8,0.5
27,Trade agreement conditions,Trade & Economic Nationalism,Moderate,A trade agreement would lower tariffs between the U.S. and several foreign countries increasing imports and exports. Which outcome do you prefer?,Trade agreements should be conditioned on labor and environmental protections in partner countries.,Lower tariffs and freer trade generally benefit both the U.S. economy and partner countries and should be pursued broadly.,1.2,0.3
28,Foreign acquisition review,Trade & Economic Nationalism,Moderate,A foreign company wants to acquire a major U.S. manufacturer. What should happen?,The government should carefully screen and potentially block foreign acquisitions of strategic industries.,Foreign investment in U.S. companies generally benefits the economy and should face minimal restrictions.,1.0,0.4
29,Buy American requirement,Trade & Economic Nationalism,Low,"A bill would require the federal government to purchase only U.S.-made goods and materials for public projects (a ""Buy American"" requirement). What is your preference?",Buy American requirements support domestic jobs and industries that matter to national security.,Government procurement should seek the best value even if that means purchasing from foreign suppliers.,0.6,0.6
30,Trade-displaced worker aid,Trade & Economic Nationalism,Low,Some propose providing retraining assistance and income support specifically to workers who lose their jobs due to import competition. What is your view?,Targeted government support for trade-displaced workers is a fair use of public funds.,Job displacement assistance should not be tied to trade; general unemployment insurance is more equitable.,0.5,0.2
